CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-131002	475339	CB DT DW F00427	The Critical Path Method: its Fundamentals.	Mercier, Arthur G. Nunnally, Roy S.		1965-01-01	NAVAL POSTGRADUATE SCHOOL MONTEREY CA	Approved for Public Release; Distribution Unlimited.	U
CB-131003	475334	CB DT DW F00426	Discounting in Military Cost-Effectiveness Studies.	Stone, Donald R.		1965-01-01	NAVAL POSTGRADUATE SCHOOL MONTEREY CA	Approved for Public Release; Distribution Unlimited.	U
CB-131004	474965	CB DT DW F00425	Operations Research Study of Systems Trade-Offs in a Constrained Environment the Strategic Basing of	Chaiken, Paul D.	TRW-8696-6005-TU-R01	1965-11-29	TRW SYSTEMS REDONDO BEACH CA	Approved for Public Release; Distribution Unlimited.	U
CB-131008	474757	CB DT DW F00422	Nebulization of Recently Isolated Agents to Inhibit Viral Infectivity.	Powell, H. M.		1965-10-01	INDIANA UNIV MEDICAL CENTER INDIANAPOLIS DEPT OF PEDIATRICS	Distribution limited to US Gov't agencies and their contractors.	U
CB-131011	474606	CB DT DW 63071	A Compression Heating Device for Agent Heat Tolerance Studies: I Development Tests of Model I Device.	Bullivant, W. Kenneth Shirey, William N. O'Bryon, Charles E.		1965-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-131012	474603	CB DT DW 60254	Plague: Growth Temperature, Virulence, and the Graded Response. Technical Manuscript No. 254, October	Rosenwald, Albert J. Lincoln, Ralph E.	ABL-TM-254	1965-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131013	474602	CB DT DW 60253	Gene Transfer by Conjugation in Pasteurella.	Lawton, William D. Morris, Brian C. Burrows, Thomas W.	TM-253	1965-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131015	474534	CB DT DW F00421	Hologram Camera and Reconstruction System for Assessment of Explosively Generated Aerosols.	Zinky, William R.	CRDL-TO-B-65-90	1965-10-07	TECHNICAL OPERATIONS INC BURLINGTON MA	Approved for Public Release; Distribution Unlimited.	U
CB-131017	474495	CB DT DW 60249	Growth of Desulfovibrio on the Surface of Agar Media.	Iverson, Warren P.	TM-249	1965-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131018	474491	CB DT DW 60252	Serum Titration of Human and Animal Coccidioidomycosis by Agar-Gel Precipitin Inhibition.	Ray, John G., Jr.	TM-252	1965-11-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131019	474448	CB DT DW 518627	The Correlation Between Molecular Structure and Infrared Absorption Spectra for Biphenyl Derivatives.	Clipson, J. L. Thomas, L. C.	PTP-934	1965-08-24	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to US Gov't agencies and their contractors.	U
CB-131020	474437	CB DT DW 518804	Burning Temperatures and Pressures of M18 Colored-Smoke Grenades.	Haynes, Guy	CRDL-SP-154	1965-10-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-131021	474336	CB DT DW 517576	Preparation of Synthetic Fiber Papers by Latex Bonding.	Wheat, J. A. MacLeod, D. A.	DCBRL-467	1965-09-01	DEFENCE CHEMICAL BIOLOGICAL AND RADIATION LABS OTTAWA (ONTARIO)	Distribution limited to US Gov't agencies and their contractors.	U
CB-131023	474208	CB DT DW 519279	Further Analysis of Intermediate-scale Aerosol Cloud Travel and Diffusion Data from Low Level Aerial Line	Vaughan, L. M.	TR-117	1965-06-02	METRONICS ASSOCIATES INC PALO ALTO CA AEROSOL LAB	Distribution limited to DoD agencies only. Other requests for this document shall be	U
CB-131024	474128	CB DT DW F00419	Some Useful Probability Distributions.	Omura, J. Kailath, T.	TR-70506 SU-SEL-65-079	1965-09-01	STANFORD UNIV CA STANFORD ELECTRONICS LABS	Approved for Public Release; Distribution Unlimited.	U
CB-131026	474052	CB DT DW F00418	Potable-Water-Shortage Survey.	Nehlsen, W. R.	NCELTR-408	1965-10-01	NAVAL CIVIL ENGINEERING LAB PORT HUENEME CA	Approved for Public Release; Distribution Unlimited.	U
CB-131027	473733	CB DT DW 518787	Potentiometric Titration of Quaternary Ammonium Iodide Salts.	Guilbault, George G. Crownover, Donald N. Tyson, Bruce C., Jr.	CRDL-R-3319	1965-10-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-131028	473693	CB DT DW F00416	Effects of Noise on Hearing and Performance.	Broadbent, D. E. Burns, W.	RNP-65-1D57 NSTIC-03880-165	1965-04-01	MEDICAL RESEARCH COUNCIL LONDON (UNITED KINGDOM)	Distribution limited to US Gov't agencies and their contractors;	U
CB-131029	473593	CB DT DW F00415	Village Security Pilot Study, Northeast Thailand.	Blakeslee, D. J. Huff, L. W. Kickert, R. W.	65-016	1965-05-01	MILITARY RESEARCH AND DEVELOPMENT CENTER BANGKOK (THAILAND)	Distribution limited to US Gov't agencies and their contractors; Foreign Government	U
CB-131030	473578	DT DW F00414	Improved Insulators for Rocket Motors.	Whelan, William P., Jr. van Buskirk, Paul R. Winslow, Donald H. Kiley, Lewis Y.	1538	1965-09-01	UNITED STATES RUBBER CO WAYNE NJ RESEARCH CENTER	Distribution limited to US Gov't agencies only.	U
CB-131032	473551	CB DT DW 518382	A Survey of Methods of Measuring Volume and Density (BIOMASS) of Tree Crowns.	Duffee, Richard A. Stephan, Joachim G.	BAT-171-30	1965-11-08	BATTELLE MEMORIAL INST COLUMBUS OHIO REMOTE AREA CONFLICT	Distribution limited to US Gov't agencies and their contractors. No Foreign. This	U
CB-131034	473531	CB DT DW F00413	Village Security Pilot Study Northeast Thailand Annex A Air Photographs and Scale Sketches of the Villages.		65-002	1965-05-01	MILITARY RESEARCH AND DEVELOPMENT CENTER BANGKOK (THAILAND)	Distribution limited to US Gov't agencies and their contractors;	U
CB-131035	473530	CB DT DW F00412	Village Security Pilot Study Northeast Thailand Annex B.		65-015	1965-05-01	MILITARY RESEARCH AND DEVELOPMENT CENTER BANGKOK (THAILAND)	Distribution limited to US Gov't agencies and their contractors;	U
CB-131036	473415	CB DT DW F00411	Syntheses of Organic Photoconductors and Their Light-Decay Characteristics.	Morimoto, Kazuhisa Murakami, Yoshinobu Inami, Akira	EMM-65-24(J)	1965-08-01	EMMANUEL COLL BOSTON MA RESEARCH LANGUAGE CENTER	Distribution limited to US Gov't agencies and their contractors.	U
CB-131037	473364	DT DW F00410	Evaporation Kinetics of Liquid Droplets and Droplet Assemblages in Air.	Zung, Joseph T.		1965-09-30	COLLEGE OF WILLIAM AND MARY WILLIAMSBURG VA	Approved for Public Release; Distribution Unlimited.	U
CB-131038	473165	CB DT DW 518829	Pathologic Findings in the Laboratory Goat Part II.	Light, F. W., Jr.	CRDL-SP-262-PT-2	1965-09-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-131039	473164	CB DT DW 518827	Pathologic Findings in the Laboratory Goat Part I.	Light, F. W., Jr.	CRDL-SP-262-PT-1	1965-09-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-131040	473018	CB DT DW 518779	The Wave-and-spike Phantom.	Tharp, Barry R.	CRDLR-3309	1965-09-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-131041	472768	CB DT DW F00406	The Impact of ADP on the Future Managerial Environment.	Garrett, Bruce L.	RSIC-438	1965-06-15	REDSTONE SCIENTIFIC INFORMATION CENTER REDSTONE ARSENAL AL	Approved for Public Release; Distribution Unlimited.	U
CB-131042	472673	CB DT DW 519370	Drug-Induced Tremor and Rigidity in Monkeys.	Koff, Gilbert Y. Langfitt, Thomas W.		1965-06-01	PENNSYLVANIA HOSPITAL PHILADELPHIA	Distribution limited to US Gov't agencies and their contractors; No Foreign. This	U
CB-131043	472671	DT DW F00404	A Method for Determining Orthogonal Coefficients.	Bates, Carl B.	NWL1988	1965-08-31	NAVAL WEAPONS LAB DAHLGREN VA	Distribution limited to DoD agencies only.	U
CB-131047	472410	CB DT DW 519300	Infectivity of Early and Aged Vee Virus Aerosols (50 and 80 percent Rh).	Miller, Sol Ehrlich, Richard	L600117	1965-05-07	IIT RESEARCH INST CHICAGO ILL	Distribution limited to US Gov't agencies and their contractors.	U
CB-131048	472408	CB DT DW 43113	Investigation of the Interactions Between Gases and Freeze-dried Bacterial and Viral Solids. Final Report, 15			1965-08-01	MELPAR FALLS CHURCH VA	Distribution limited to US Gov't agencies and their contractors;	U
CB-131049	472391	CB DT DW 43204	Stabilization of Beta-propiolactone.	Deno, Norman C.		1965-09-15	PENNSYLVANIA STATE UNIV UNIVERSITY PARK COLL OF SCIENCE	Distribution limited to US Gov't agencies and their contractors;	U
CB-131052	472304	CB DT DW 517703	Micrometeorolgical Measurements of Wind Components and Temperature Variability at Suffield, Alberta.	Walker, E. R.	SSP-53	1965-09-01	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution limited to US Gov't agencies and their contractors.	U
CB-131053	472303	CB DT DW 60248	Experimental Epidemiology of Coccidioidomycosis. 1. Epizootiology of Naturally Exposed Monkeys and	Converse, John L. Reed, Raymond E. Kuller, Harry W. Trautman, Robert J. Snyder, Ernest M.	TM-248	1965-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131060	471001	DT DW F00400	An Advanced Classified Document Control System.	Berlin, Sy	RACP7	1965-08-01	RESEARCH ANALYSIS CORP MCLEAN VA	Distribution limited to US Gov't agencies only. Other requests for this document shall be	U
CB-131062	470869	CB DT DW 529153	Biological Transmission of Arthropod-Borne Viruses by Mosquito Vectors.	Chamberlain, Roy W.		1965-07-31	COMMUNICABLE DISEASE CENTER ATLANTA GA	Distribution limited to DoD agencies only. This document contains export-controlled	U
CB-131063	470865	DT DW F00398	Quarterly Report No. 4.			1965-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Further dissemination only as directed by Commanding Officer, Army Biological Labs,	U
CB-131066	470764	CB DT DW F00394	Noise Bibliography Volume 4.		TIL-BIB-73-VOL-4	1965-07-01	MINISTRY OF AVIATION LONDON (UNITED KINGDOM) TECHNICAL	Distribution limited to US Gov't agencies and their contractors; Foreign Government	U
CB-131067	470733	CB DT DW F00393	Development of Mammalian Tissue Culture Cell Lines with Shortened Generation Rates.	Yamashiroya, Herbert M.	IITRI-L6028	1965-08-15	IIT RESEARCH INST CHICAGO ILL	Distribution limited to US Gov't agencies and their contractors;	U
CB-131071	470690	CB DT DW 61020	Tobacco Growing and Economics of Tobacco in Selected Countries of the World.	Wuest, Paul J.	TR-71	1965-09-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131073	470350	CB DT DW F00391	A Monitoring Design for Radioactive Air Pollution.	Flyger, Hans	RISO-104	1965-05-01	DANISH ATOMIC ENERGY COMMISSION ROSKILDE	Distribution limited to US Gov't agencies and their contractors.	U
CB-131074	470290	CB DT DW 518579	Naphthyl Esters as Fluorogenic Substrates for Enzymes a Fluorometric Apparatus Employing Cholinesterase.	Guilbault, George G. Kramer, David N.	CRDLR-3292	1965-06-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-131075	470213	CB DT DW F00390	Quarterly Report.	Brachman, Philip S.		1965-07-28	COMMUNICABLE DISEASE CENTER ATLANTA GA	Distribution limited to US Gov't agencies and their contractors.	U
CB-131076	470116	CB DT DW F00389	A Technique or Discrimination of Optical Radar Targets.	Morrison, Ernest L., Jr.	ECOM-6006-TR AERDAA-ELCT-16-65	1965-08-01	ARMY ELECTRONICS RESEARCH AND DEVELOPMENT ACTIVITY FORT	Distribution limited to US Gov't agencies and their contractors;	U
CB-131077	470103	DT DW F00388	Automated Documentation.	Magnuson, Robert A.	RACTP165	1965-04-01	RESEARCH ANALYSIS CORP MCLEAN VA	Approved for Public Release; Distribution Unlimited.	U
CB-131078	470099	DT DW F00387	Pyrophoric Dusts in Engineering and Industry.	Sehr, Joachim	PA TM1677	1965-09-01	PICATINNY ARSENAL DOVER NJ FELTMAN RESEARCH LABS	Distribution limited to US Gov't agencies only. Other requests for this document shall be	U
CB-131080	470042	CB DT DW F00386	Aerochemical Forest Protection.	Tropin, I. V.	FSTC-381-T65-307	1965-07-01	ARMY FOREIGN SCIENCE AND TECHNOLOGY CENTER CHARLOTTESVILLE VA	Distribution limited to US Gov't agencies and their contractors; Foreign Government	U
CB-131083	469623	CB DT DW F00384	Review of Kissinger's the Troubled Partnership: A Re-Appraisal of the Atlantic Alliance.	Brodie, Bernard	P-3199	1965-08-01	RAND CORP SANTA MONICA CA	Approved for Public Release; Distribution Unlimited.	U
CB-131084	469391	CB DT DW 60244	Coccidioidin Sensitivity in Guinea Pigs Immunized with Killed Arthrospores.	Sinski, James T. Dalldorf, Frederic G.	TECHNICAL MANUSCRIPT244	1965-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131086	469389	CB DT DW 60214	Pasteurella Pestis: Role of Pesticin I and Iron in Experimental Plague. Technical Manuscript No. 214, July	Brubaker, Robert R. Beesley, Earl D. Surgalla, Michael J.	BL-TM-214	1965-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131091	469384	CB DT DW 60243	Hemagglutination-inhibition Method and Immunofluorescence Staining with VEE Virus. Technical	Shepel, Michael	BL-TM-243	1965-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131092	469383	CB DT DW 60235	Fluorescent Cell-Counting Assay of Yellow Fever Virus.	Hahon, Nicholas	TECHNICAL MANUSCRIPT-235	1965-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131096	469269	CB DT DW F00381	Design of Reliability Central Data Management Subsystem. Volume 2.	Sable, J.	RADC-TR-65-189-Vol-2	1965-07-01	AUERBACH CORP PHILADELPHIA PA	Approved for Public Release; Distribution Unlimited.	U
CB-131097	469240	CB DT DW F00380	Some Problems in Cost Analysis.	Abert, J. G.	RP-P-186 IDA/HQ65-3735	1965-06-01	INSTITUTE FOR DEFENSE ANALYSES ALEXANDRIA VA RESEARCH AND	Approved for Public Release; Distribution Unlimited.	U
CB-131098	469219	CB DT DW 60236	Direct Fluorescent Tagging of Microorganisms: A Possible Life Detection Technique.	Pital, Abe Janowitz, Sheldon L. Hudak, Charles E. Lewis, Evelyn E.	TM236	1965-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131101	469194	DT DW F00377	Synthesis and Screening of Organic Chemicals as Defoliants, Herbicides and/or Foliar Desiccants.			1965-07-15	UNITED STATES RUBBER CO NAUGATUCK CT CHEMICAL DIV	Distribution limited to DoD agencies only; No foreign without approval. Other requests	U
CB-131104	469084	CB DT DW F00376	Study of an Automatic Control System for a Multi-Stage Flash Evaporator with Varying Heat Input Rate for	Houseman, John Canter, James R. Doshi, Josh N.		1965-06-03	JACOBS ENGINEERING CO PASADENA CA	Distribution limited to US Gov't agencies and their contractors.	U
CB-131106	468834	CB DT DW F00375	A Selected Annotated Bibliography on Cost-Effectiveness and Man/Machine Function Allocation.	Webb, J. Scott Wills, Joe E. Anderson, Ronald D.	SRM-66-4	1965-08-01	NAVAL PERSONNEL RESEARCH ACTIVITY SAN DIEGO CA	Approved for Public Release; Distribution Unlimited.	U
CB-131112	468670	CB DT DW 42933	Contributions to Blast Wave and Fracture Theories.	Garg, S. K.		1965-07-01	FLORIDA UNIV GAINESVILLE COLL OF ENGINEERING	Distribution limited to US Gov't agencies and their contractors;	U
CB-131113	468643	CB DT DW 42947	Studies on the Pathogenicity and Related Characteristics of Bartonella bacilliformis.	Slack, John M. Mitchell, Paul D. Baumann, Bonita		1965-07-01	WEST VIRGINIA UNIV MEDICAL CENTER MORGANTOWN	Distribution limited to US Gov't agencies and their contractors;	U
CB-131114	468641	DT DW F00372	Studies Concerning Longevity, Aging, and Productivity in Aedes Aegypti.	Liles, James N.		1965-10-31	TENNESSEE UNIV KNOXVILLE DEPT OF ZOOLOGY AND ENTOMOLOGY	Distribution limited to DoD agencies only. Other requests for this document shall be	U
CB-131115	468640	CB DT DW 519653	Studies Concerning Longevity, Aging, and Productivity in Aedes Aegypti.	Liles, James N.	QTR-3	1965-07-31	TENNESSEE UNIV KNOXVILLE	Distribution limited to DoD agencies only; No Foreign. Other requests for this document	U
CB-131116	468639	CB DT DW 42721	Semi-annual Progress Report, July 1965.	Rose, Noel R.		1965-07-01	STATE UNIV OF NEW YORK AT BUFFALO AMHERST	Distribution limited to US Gov't agencies and their contractors;	U
CB-131117	468582	CB DT DW F00371	Investigations of Nutritional Requirements for the Growth of Insect Tissues.	Briggs, John D.		1965-07-13	OHIO STATE UNIV RESEARCH FOUNDATION COLUMBUS	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-131119	468445	CB DT DW 44052	Assessment of Equipments for Automated Particle-size Measurement.	Grant, H. C. Stenson, R.	ERDE-8-M-65 WAC-168-06	1965-04-26	EXPLOSIVES RESEARCH AND DEVELOPMENT ESTABLISHMENT WALTHAM	Distribution limited to US Gov't agencies and their contractors; Foreign Government	U
CB-131120	468357	CB DT DW F00370	A Review of the Mechanical Properties Data Center Operation and Expansion.	Braden, R. C. Wright, C. S.	AFML-TR-65-193	1965-06-01	BELFOUR ENGINEERING CO SUTTONS BAY MICH	Approved for Public Release; Distribution Unlimited.	U
CB-131121	468320	CB DT DW F00369	Bibliography on Electrostatic Phenomena in Aerosol Dissemination.	Blake, D. E. Lapple, C. E.		1965-08-02	STANFORD RESEARCH INST MENLO PARK CA	Approved for Public Release; Distribution Unlimited.	U
CB-131122	468297	CB DT DW F00368	Results of AFRPL Technical Information Facility Survey.	Beltran, Alfred A. Scranton, Robert R.	LR-19040 AFRPL-TR-65-157	1965-08-15	LOCKHEED-CALIFORNIA CO BURBANK	Approved for Public Release; Distribution Unlimited.	U
CB-131123	468210	CB DT DW F00367	Laboratory Studies on Aquatic Weeds.	Otto, N. E. Bartley, T. R.	WC-21	1965-05-20	BUREAU OF RECLAMATION DENVER COLO	Distribution limited to US Gov't agencies and their contractors.	U
CB-131124	468163	CB DT DW 61019	Spread of Piricularia Oryzae in Small Rice Fields from Foci of Different Sizes.	Barksdale, Thomas H. Miller, Olin C. Marchetti, Marco A. Grove, Bernard R., Jr.	ABL-TR-69	1965-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131125	468162	CB DT DW F00366	Auxin Stimulation of Ethylene Evolution.	Abeles, Frederick B.	TM-234	1965-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131127	468160	CB DT DW 60230	Natural Resistance of Hamster Cells to 8-Azaguanine.	Richter, Alan	TM230	1965-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131129	467816	CB DT DW F00365	Weapon System Effectiveness Industry Advisory Committee (WSEIAC). Final Report of Task Group VI,	Monroe, Alfred J. Voegtlen, H. Dean Moxley, Frank H.	AFSC-TR-65-6	1965-01-01	AIR FORCE SYSTEMS COMMAND WASHINGTON D C	Approved for Public Release; Distribution Unlimited.	U
